IncludedSite	BackupSite
9:110873863	9:110873868
9:110873863	9:110873843
6:90550611	6:90550751
6:90550611	6:90550208
3:158561376	3:158561373
3:158561376	3:158561384
3:158561376	3:158561378
3:158561376	3:158561388
15:26308812	15:26308807
15:26308812	15:26308783
15:26308812	15:26308785
10:79921218	10:79921629
10:79921218	10:79921617
10:79921218	10:79921060
10:79921218	10:79921611
10:79921218	10:79921235
10:79921218	10:79921259
10:79921218	10:79921251
10:79921218	10:79921632
10:79921218	10:79921238
14:21990803	14:21990796
14:21990803	14:21990782
12:22906211	12:22906202
12:22906211	12:22906213
16:18588908	16:18588880
16:18588908	16:18588884
10:79921819	10:79921821
10:79921819	10:79921629
10:79921819	10:79921837
10:79921819	10:79921611
10:79921819	10:79921235
10:79921819	10:79921259
10:79921819	10:79921251
10:79921819	10:79921632
10:79921819	10:79921264
10:79921819	10:79921238
4:99656966	4:99656957
4:99656966	4:99657098
4:99656966	4:99657114
4:99656966	4:99653663
4:99656966	4:99657129
11:61684617	11:61684493
11:61684617	11:61684502
16:33755524	16:33755533
16:33755524	16:33755541
12:19954358	12:19954360
12:19954358	12:19954391
12:19954358	12:19954389
12:19954358	12:19954353
12:19954358	12:19954465
12:19954358	12:19954372
7:115379735	7:115379727
7:115379735	7:115379765
2:74655649	2:74655825
2:74655649	2:74655990
11:69965628	11:69965621
11:69965628	11:69965586
11:69965628	11:69965453
11:69965628	11:69965462
11:69965628	11:69965451
11:69965628	11:69966093
11:69965628	11:69966088
11:69965628	11:69965459
11:69965628	11:69965435
4:105175583	4:105175587
4:105175583	4:105175579
7:44697263	7:44697209
7:44697263	7:44697206
4:78212190	4:78212204
4:78212190	4:78212176
12:14150198	12:14150171
12:14150198	12:14150177
12:14150198	12:14149957
12:14150198	12:14149828
12:14150198	12:14152094
13:18218741	13:18218747
13:18218741	13:18218860
8:99416670	8:99416667
8:99416670	8:99416630
8:99416670	8:99416637
9:111311765	9:111311884
9:111311765	9:111311769
9:111311765	9:111311762
9:111311765	9:111311771
11:90033352	11:90033102
11:90033352	11:90033112
11:61684760	11:61684480
11:61684760	11:61684957
10:80810385	10:80810498
10:80810385	10:80810392
4:123105473	4:123105410
4:123105473	4:123105030
4:123105473	4:123105343
4:123105473	4:123105166
8:69882206	8:69881409
8:69882206	8:69885471
8:69882206	8:69882401
8:69882206	8:69882217
8:69882206	8:69881530
8:69882206	8:69882220
8:69882233	8:69885480
8:69882233	8:69882212
8:69882233	8:69882210
8:69882233	8:69881519
8:69882233	8:69885471
8:69882233	8:69882057
8:69882233	8:69882401
8:69882233	8:69882230
8:69882233	8:69882217
8:69882233	8:69882223
8:69882233	8:69881530
8:69882233	8:69882220
8:69882233	8:69885474
11:35798308	11:35798311
11:35798308	11:35798487
8:48555184	8:48555171
8:48555184	8:48555165
11:69965631	11:69965586
11:69965631	11:69965453
11:69965631	11:69965451
11:69965631	11:69966093
11:69965631	11:69966088
11:69965631	11:69965459
11:69965631	11:69965435
12:14150167	12:14151952
12:14150167	12:14150171
12:14150167	12:14150177
12:14150167	12:14149957
8:87472974	8:87468955
8:87472974	8:87472241
6:88200056	6:88200141
6:88200056	6:88197447
2:30652644	2:30652730
2:30652644	2:30652665
12:22466826	12:22466819
12:22466826	12:22466813
12:22466826	12:22466733
12:22466826	12:22466836
12:22466826	12:22466848
5:69341468	5:69341606
5:69341468	5:69340452
1:109983116	1:109982672
1:109983116	1:109983103
1:109983116	1:109983111
15:98780779	15:98780782
15:98780779	15:98780615
15:98780779	15:98780817
4:140750337	4:140750679
4:140750337	4:140750534
4:140750337	4:140750464
4:140750337	4:140750714
4:140750337	4:140750545
10:75424632	10:75424630
10:75424632	10:75424612
10:75424632	10:75424606
19:61225696	19:61225643
19:61225696	19:61225535
19:61225696	19:61226250
19:61225696	19:61225625
9:45839573	9:45839425
9:45839573	9:45839240
5:81020087	5:81021813
5:81020087	5:81022128
18:61036161	18:61036170
18:61036161	18:61036373
18:61036161	18:61036382
18:61036161	18:61036401
12:84417643	12:84417645
12:84417643	12:84417652
11:98767348	11:98767391
11:98767348	11:98767344
11:98767348	11:98767387
12:19882419	12:19882421
12:19882419	12:19882413
7:28732605	7:28732842
7:28732605	7:28732600
7:28732605	7:28732607
7:28732605	7:28732649
11:57827286	11:57827306
11:57827286	11:57827308
3:124320988	3:124321261
3:124320988	3:124321111
3:124320988	3:124321263
18:58210351	18:58209809
18:58210351	18:58209988
2:54436805	2:54437205
2:54436805	2:54437069
2:54436805	2:54436939
4:156234042	4:156234071
4:156234042	4:156234058
4:83512457	4:83512415
4:83512457	4:83512420
15:87625501	15:87625503
15:87625501	15:87625524
15:87625501	15:87625658
15:87625501	15:87625452
17:35425822	17:35425346
17:35425822	17:35425376
5:89882485	5:89882480
5:89882485	5:89882568
8:84784807	8:84784774
8:84784807	8:84784634
16:18588889	16:18588884
16:18588889	16:18585751
16:18588889	16:18588726
16:18588889	16:18588445
4:114912901	4:114912894
4:114912901	4:114912872
12:109408943	12:109408773
12:109408943	12:109408782
8:8969126	8:8969121
8:8969126	8:8969102
2:133553339	2:133554575
2:133553339	2:133554566
2:133553339	2:133554672
2:133553339	2:133554552
4:25799668	4:25799805
4:25799668	4:25799813
4:25799668	4:25799685
5:131538153	5:131538167
5:131538153	5:131538140
8:120268743	8:120268707
8:120268743	8:120268857
4:131916023	4:131916207
4:131916023	4:131916035
12:46819305	12:46819148
12:46819305	12:46819289
12:46819305	12:46819300
12:46819305	12:46819170
12:46819305	12:46819874
12:46819305	12:46819161
12:46819305	12:46819173
12:46819305	12:46819155
6:94281701	6:94283896
6:94281701	6:94283879
6:94281701	6:94283886
15:72546959	15:72547547
15:72546959	15:72547706
2:130638082	2:130638090
2:130638082	2:130638074
2:130638082	2:130638097
8:84912704	8:84912711
8:84912704	8:84912576
8:84912704	8:84912574
8:84912704	8:84912707
8:84912704	8:84912714
4:81442919	4:81442938
4:81442919	4:81442935
17:26439144	17:26439181
17:26439144	17:26439179
17:26439144	17:26439069
17:26439144	17:26439060
17:26439144	17:26439139
17:26439144	17:26439269
17:26439144	17:26439082
11:83851560	11:83851068
11:83851560	11:83849875
11:83851560	11:83851770
11:83851560	11:83850008
10:114801481	10:114801288
10:114801481	10:114802243
10:114801481	10:114801285
8:17535333	8:17534993
8:17535333	8:17535349
8:17535333	8:17535542
8:17535333	8:17535540
17:36216394	17:36216219
17:36216394	17:36216216
17:36216394	17:36216241
6:122609544	6:122609508
6:122609544	6:122609506
6:122609544	6:122609523
18:9214905	18:9215030
18:9214905	18:9215036
18:9214905	18:9214918
18:9214905	18:9213813
18:9214905	18:9213462
18:9214905	18:9213836
18:9214905	18:9213823
18:9214905	18:9213672
5:131538133	5:131537080
5:131538133	5:131538167
5:131538133	5:131538140
5:131538133	5:131537549
16:20804402	16:20802302
16:20804402	16:20804373
9:21037816	9:21037820
9:21037816	9:21037837
9:21037816	9:21037835
2:133554559	2:133554575
2:133554559	2:133554672
12:19704276	12:19704171
12:19704276	12:19704196
2:63184245	2:63184273
2:63184245	2:63184154
2:63184245	2:63184233
6:83161570	6:83161925
6:83161570	6:83161927
18:59175739	18:59175742
18:59175739	18:59175744
3:158561364	3:158561373
3:158561364	3:158561384
3:158561364	3:158561378
3:158561364	3:158561353
3:158561364	3:158561360
4:147276021	4:147275542
4:147276021	4:147276023
4:147276021	4:147275538
19:61225630	19:61225646
19:61225630	19:61225625
19:61225630	19:61225523
19:61225630	19:61225504
19:61225630	19:61226979
17:36216209	17:36216219
17:36216209	17:36216216
17:36216209	17:36216241
7:27657955	7:27658182
7:27657955	7:27657807
7:27657955	7:27657945
7:27657955	7:27657781
9:91364483	9:91362575
9:91364483	9:91362580
9:91364483	9:91364946
2:57111502	2:57112041
2:57111502	2:57112007
2:57111502	2:57111362
2:57111502	2:57109445
2:57111502	2:57111388
10:70599111	10:70599713
10:70599111	10:70599742
10:70599111	10:70599752
13:112443509	13:112443541
13:112443509	13:112443543
10:103028768	10:103028024
10:103028768	10:103028645
19:5742376	19:5742503
19:5742376	19:5742398
19:5742376	19:5742406
12:49383670	12:49383970
12:49383670	12:49385535
12:49383670	12:49384436
2:61815608	2:61815777
2:61815608	2:61815602
18:22344063	18:22344070
18:22344063	18:22343961
12:108328044	12:108328065
12:108328044	12:108328056
12:108328044	12:108328046
12:108328044	12:108328063
19:5751185	19:5751200
19:5751185	19:5751034
4:134402541	4:134407525
4:134402541	4:134402500
4:123105471	4:123105410
4:123105471	4:123105398
4:123105471	4:123105030
4:123105471	4:123105343
4:123105471	4:123105166
4:123105471	4:123105407
4:123105471	4:123105492
1:55363551	1:55363555
1:55363551	1:55363538
1:55363551	1:55363577
8:48555065	8:48555171
8:48555065	8:48555346
8:48555065	8:48555165
8:48555065	8:48555054
8:48555065	8:48555035
12:46819179	12:46819289
12:46819179	12:46819874
10:103029442	10:103028734
10:103029442	10:103028731
13:41078865	13:41078981
13:41078865	13:41079164
11:116108298	11:116108285
11:116108298	11:116108261
1:42697622	1:42694802
1:42697622	1:42694763
1:42697622	1:42694085
19:37693429	19:37697026
19:37693429	19:37693237
1:185455219	1:185455119
1:185455219	1:185455370
3:124321088	3:124321261
3:124321088	3:124320980
3:124321088	3:124321111
3:124321088	3:124321263
3:124321088	3:124321130
11:61147591	11:61147628
11:61147591	11:61147017
11:61147591	11:61147624
11:96007033	11:96005030
11:96007033	11:96005522
11:96007033	11:96007673
11:96007033	11:96005567
8:121117019	8:121117079
8:121117019	8:121117016
8:121117019	8:121116808
8:121117019	8:121117030
4:46344139	4:46344273
4:46344139	4:46344276
4:46344139	4:46343917
13:60176260	13:60176384
13:60176260	13:60176554
13:60176260	13:60176517
13:41220504	13:41220334
13:41220504	13:41220361
13:41220504	13:41220365
17:62880471	17:62880466
17:62880471	17:62880473
7:70361446	7:70361584
7:70361446	7:70362076
7:70361446	7:70361619
1:42491877	1:42491910
1:42491877	1:42491879
7:133124588	7:133124620
7:133124588	7:133124626
1:89931154	1:89931151
1:89931154	1:89930356
3:62340384	3:62340390
3:62340384	3:62339346
3:62340384	3:62338866
3:62340384	3:62339361
7:99539905	7:99535752
7:99539905	7:99535877
7:143476101	7:143475960
7:143476101	7:143475921
18:22343957	18:22344070
18:22343957	18:22344446
18:22343957	18:22344787
4:76449811	4:76449947
4:76449811	4:76449951
4:76449811	4:76449945
4:76449811	4:76449927
4:76449811	4:76449815
4:76449811	4:76449949
4:76449811	4:76449820
4:76449811	4:76450474
4:76449811	4:76449539
4:76449811	4:76449545
12:20312159	12:20312622
12:20312159	12:20312169
12:20312159	12:20312135
7:134225114	7:134225008
7:134225114	7:134225018
7:134225114	7:134225139
8:92855486	8:92855474
8:92855486	8:92855492
7:118596514	7:118596492
7:118596514	7:118596475
15:98895289	15:98895041
15:98895289	15:98898261
10:109010638	10:109010673
10:109010638	10:109010652
8:78436416	8:78436425
8:78436416	8:78436419
8:78436416	8:78436303
16:35156527	16:35156456
16:35156527	16:35156450
19:6830384	19:6830086
19:6830384	19:6830407
19:6830384	19:6830399
19:6830384	19:6830390
16:9995609	16:9993045
16:9995609	16:9994912
16:9995609	16:9994255
16:9995609	16:9995630
16:9995609	16:9995620
16:9995609	16:9994229
1:13126903	1:13126897
1:13126903	1:13126776
11:96345964	11:96346054
11:96345964	11:96346051
11:96345964	11:96345937
4:146067697	4:146067279
4:146067697	4:146067783
4:146067697	4:146067706
4:146067697	4:146067790
17:62880488	17:62880466
17:62880488	17:62880473
4:148952705	4:148952695
4:148952705	4:148952391
4:148952705	4:148952689
4:148952705	4:148952382
11:53478875	11:53478691
11:53478875	11:53478799
11:53478875	11:53478907
7:37624410	7:37624416
7:37624410	7:37624398
4:43632236	4:43632400
4:43632236	4:43632367
17:68841158	17:68841184
17:68841158	17:68841181
11:33203583	11:33203157
11:33203583	11:33201272
11:33203583	11:33203575
11:33203583	11:33203379
11:33203583	11:33203405
19:27217362	19:27217200
19:27217362	19:27217204
19:27217362	19:27217356
19:27217362	19:27217364
19:27217362	19:27217182
19:27217362	19:27217041
19:27217362	19:27217087
19:27217362	19:27217192
2:77816438	2:77816430
2:77816438	2:77816575
2:77816438	2:77816901
2:77816438	2:77816917
2:77816438	2:77816583
2:77816438	2:77816782
5:101765744	5:101765668
5:101765744	5:101765662
5:101765744	5:101765788
15:95527878	15:95527971
15:95527878	15:95527978
6:63257495	6:63257475
6:63257495	6:63257364
11:21993733	11:21997929
11:21993733	11:21994068
11:21993733	11:21993757
18:65505742	-
19:43833663	-
15:102460354	-
17:35439634	-
8:125669727	-
17:32659592	-
10:33624566	-
5:50034059	-
5:146461780	-
13:60687073	-
14:63123900	-
11:102399398	-
5:125918109	-
14:61689834	-
11:102480494	-
5:111229233	-
11:59312571	-
8:117856271	-
8:11356829	-
4:43425437	-
10:121161559	-
5:64045677	-
8:84918147	-
10:120558188	-
3:127123714	-
13:60687050	-
6:145710152	-
19:34746667	-
19:43833683	-
15:79879275	-
7:58836954	-
1:85109189	-
17:35439648	-
2:93365728	-
7:99594858	-
12:19954370	-
13:38503124	-
9:44692257	-
4:135155356	-
15:26895770	-
2:63184163	-
16:28596352	-
9:55546219	-
12:61524739	-
11:79140423	-
6:129451759	-
5:142963620	-
7:138397946	-
11:20762369	-
11:82580265	-
1:126925769	-
6:134388746	-
14:67146752	-
17:56763026	-
16:21205921	-
8:34810101	-
12:18853854	-
2:131524854	-
9:83111477	-
7:133124788	-
9:110873915	-
5:120463254	-
12:56438729	-
9:110684580	-
2:164171874	-
2:154221007	-
2:147180836	-
12:20196411	-
5:120462994	-
4:127419212	-
5:3193814	-
17:25568593	-
7:4845027	-
10:120422379	-
8:84918158	-
9:14718160	-
7:80081360	-
8:105259345	-
12:20312384	-
10:44456843	-
2:59829395	-
8:117856328	-
3:84478979	-
17:69439607	-
8:104555391	-
8:120832255	-
13:100752695	-
4:132181860	-
16:21247270	-
8:84771960	-
10:88390758	-
10:5491389	-
14:61689950	-
4:137189526	-
3:17787694	-
14:63123892	-
10:61632621	-
11:102606002	-
11:69119878	-
4:124594956	-
17:28926372	-
10:4430456	-
4:127971649	-
2:33975929	-
4:148070112	-
4:58206296	-
6:86505758	-
14:61689932	-
4:74013920	-
6:83135560	-
4:8939035	-
8:84731629	-
2:122665822	-
6:8957108	-
11:85886588	-
19:37918755	-
11:22007183	-
12:112665757	-
19:6565364	-
15:73176975	-
5:75922099	-
5:112979308	-
5:73538999	-
3:100395083	-
5:117308078	-
9:64918722	-
19:56631595	-
8:127828007	-
11:96332814	-
8:34810240	-
11:4954035	-
15:100728625	-
12:110855343	-
6:72676083	-
17:35425290	-
19:6830204	-
7:128182014	-
8:120268534	-
16:18624828	-
2:158191198	-
11:20477838	-
12:22745402	-
4:147738779	-
7:34647299	-
18:25753144	-
12:111998696	-
2:124938346	-
3:132871461	-
9:104874038	-
18:9214913	-
5:115533582	-
17:88791846	-
11:53508268	-
7:80845973	-
1:134998387	-
12:18514577	-
16:4419191	-
12:49391311	-
18:83051675	-
14:75192890	-
17:71986386	-
11:113499146	-
9:119146607	-
1:135374460	-
4:120369702	-
2:63184156	-
15:76090097	-
15:87625507	-
6:83702581	-
19:45078654	-
5:150599707	-
11:51647045	-
9:107993263	-
13:112443517	-
11:12756587	-
2:172042259	-
13:102639929	-
10:7839844	-
8:61283939	-
13:71959658	-
17:35439620	-
6:134388730	-
17:49435258	-
8:35588987	-
13:10045858	-
3:138644699	-
13:114933593	-
8:108715701	-
4:76449960	-
10:79881969	-
15:71727965	-
4:109974787	-
13:97291295	-
8:47352471	-
5:97935757	-
4:133579872	-
15:89068300	-
10:98343301	-
18:31939300	-
1:132767697	-
12:22745383	-
5:71095917	-
1:164693668	-
2:165407774	-
2:127552852	-
14:74643113	-
16:94123505	-
10:60685807	-
12:22906098	-
19:7096468	-
1:58165381	-
12:85475616	-
4:83285066	-
11:116108405	-
3:135698636	-
3:148918425	-
12:20197016	-
7:4845135	-
15:73893927	-
8:23043941	-
6:82091890	-
7:44697236	-
9:119028888	-
7:45405500	-
5:137310258	-
14:4726410	-
17:25867240	-
4:140750480	-
16:32696999	-
3:84478982	-
7:27657930	-
16:91447599	-
12:20614980	-
2:74682449	-
10:21882266	-
11:90687994	-
11:120630508	-
5:21373040	-
5:92928120	-
8:94905175	-
11:42182447	-
2:7063783	-
3:98991488	-
9:107305992	-
10:120558197	-
8:92063762	-
1:13659712	-
6:29496474	-
5:72219795	-
11:22007227	-
8:84201708	-
9:71215446	-
12:22906237	-
10:44206135	-
8:120832236	-
2:93365751	-
11:42182440	-
7:99510167	-
5:27261779	-
5:129155543	-
10:122738407	-
17:29434835	-
18:82545776	-
11:81371989	-
12:109408834	-
11:88687323	-
5:122950716	-
11:29825373	-
11:94591678	-
10:60944331	-
3:101367450	-
19:43601519	-
2:57111641	-
2:147180936	-
11:93098216	-
5:128601886	-
3:52180554	-
4:146475324	-
2:152156224	-
7:102106941	-
18:42395730	-
8:125669766	-
19:30451132	-
2:75425568	-
8:70742982	-
4:53264088	-
9:53390605	-
13:18218858	-
6:88019697	-
4:117749676	-
17:44129495	-
7:19734468	-
12:22466728	-
13:76384398	-
3:82876385	-
14:70079771	-
2:93014386	-
16:30171950	-
4:130037399	-
14:54408731	-
11:90033356	-
11:87240694	-
13:60348033	-
19:6934317	-
9:118468350	-
6:31613185	-
13:58806665	-
14:65326541	-
11:67675679	-
6:51012356	-
7:81453980	-
1:112416723	-
9:65180674	-
8:12390001	-
12:76215187	-
17:35702277	-
18:10441000	-
11:119267697	-
7:16912563	-
4:152375020	-
1:120600185	-
6:88194839	-
17:41751583	-
6:25690201	-
9:42898296	-
14:43122171	-
14:122462914	-
2:29195635	-
2:131561342	-
11:4949389	-
7:51511339	-
6:23247720	-
6:114738601	-
8:89572047	-
10:109010551	-
7:127136110	-
16:65815006	-
6:63257484	-
14:93891076	-
8:25098297	-
11:79899821	-
3:45380703	-
11:108039122	-
15:102460331	-
8:70816874	-
4:91400608	-
12:109511992	-
19:18624451	-
14:65676372	-
9:64078360	-
19:8965882	-
10:70121162	-
2:158554597	-
11:117250286	-
8:105277535	-
9:56897793	-
17:28298325	-
8:72762603	-
2:168842301	-
13:101879935	-
7:81858544	-
8:35589003	-
11:117235563	-
8:72741657	-
1:89992391	-
12:27341791	-
19:5071399	-
17:34185742	-
10:59970251	-
7:49348555	-
16:11494994	-
17:23743834	-
3:50879680	-
10:80988204	-
15:100462104	-
5:120579817	-
6:142702087	-
13:119741978	-
6:31208190	-
17:29494637	-
6:105677846	-
6:84266818	-
11:96005005	-
16:21205884	-
2:143546106	-
12:101012426	-
2:163551657	-
10:83384139	-
5:37890722	-
11:98042810	-
11:24523596	-
14:59840574	-
7:140915648	-
18:65501441	-
13:53257187	-
8:48843046	-
4:62625798	-
1:101902585	-
11:120641815	-
14:17483381	-
6:28114365	-
18:38703335	-
12:111445885	-
10:116346878	-
3:14393935	-
6:114738433	-
1:152956175	-
13:54178642	-
14:51054369	-
1:179842633	-
2:180273934	-
5:116591634	-
11:51786085	-
2:74682458	-
9:27193937	-
5:77532700	-
7:4845117	-
2:178558221	-
1:132951989	-
2:16400594	-
5:143253193	-
16:44746673	-
15:80111387	-
2:29198493	-
14:4649593	-
3:137827749	-
2:37793601	-
5:125403866	-
11:29824620	-
19:7423429	-
13:94706728	-
7:4845044	-
13:65726822	-
2:21237200	-
10:121931533	-
11:95009200	-
4:32165321	-
10:88560484	-
10:61726044	-
19:43927382	-
2:143862630	-
1:15287263	-
7:19021066	-
5:148809376	-
19:44760660	-
13:81025544	-
5:36252140	-
14:55827084	-
19:42755650	-
9:67760664	-
2:91645789	-
2:180334000	-
4:142095587	-
4:155345572	-
2:84184889	-
11:115891315	-
2:153032202	-
5:117593516	-
13:40657650	-
8:122738696	-
11:85688574	-
18:64345374	-
11:84526409	-
10:123788289	-
7:126799960	-
6:25690151	-
5:86793012	-
15:76189160	-
4:138453300	-
8:124677636	-
4:152375120	-
10:128502520	-
10:120422320	-
11:88193377	-
4:129020517	-
17:85621802	-
7:142664387	-
13:25387556	-
7:138398058	-
11:53463565	-
8:83166465	-
19:16870601	-
19:6995638	-
13:117603200	-
6:6299369	-
11:82926084	-
4:120304702	-
7:97549477	-
15:76087218	-
7:19852224	-
1:16093353	-
12:105234295	-
14:4415197	-
12:105003348	-
4:136234385	-
15:82928785	-
5:105792837	-
5:101826817	-
4:45846901	-
9:60545774	-
13:60497752	-
3:23264181	-
15:85961529	-
13:52989777	-
10:13028009	-
10:49788564	-
13:95616595	-
2:9884576	-
5:24383330	-
5:15935471	-
6:57929686	-
16:58107088	-
2:6730156	-
17:44476055	-
2:68383838	-
7:27488117	-
8:4205994	-
16:35449625	-
5:34322813	-
5:114127491	-
17:69076034	-
10:32890319	-
15:58979668	-
15:36641258	-
9:62018885	-
8:123341654	-
7:137317372	-
11:113785976	-
12:112707532	-
11:53463757	-
5:84416486	-
1:157444638	-
13:115959378	-
9:121808080	-
1:74783810	-
10:14535658	-
5:115208111	-
9:31858921	-
8:89042502	-
9:119418197	-
8:22811284	-
5:73649677	-
1:184882832	-
5:137091163	-
10:33624466	-
10:121161542	-
1:75015945	-
9:20889940	-
8:91800473	-
17:85822113	-
11:83020521	-
4:63256946	-
11:4135724	-
4:154641327	-
13:20120711	-
6:125410705	-
10:49782905	-
6:88242707	-
11:96988532	-
14:4649732	-
3:95530366	-
5:14025270	-
4:140658270	-
2:180642035	-
