IncludedSite	BackupSite
15:75998772	15:75998716
15:75998772	15:75997961
15:75998772	15:75997922
15:75998772	15:75997864
15:75998772	15:75998843
2:164880721	2:164880768
2:164880721	2:164880739
2:164880721	2:164880907
2:164880721	2:164880745
19:61226271	19:61226261
19:61226271	19:61226250
19:61226271	19:61226275
19:61226271	19:61225698
19:61226271	19:61226266
19:61226271	19:61226052
19:61226271	19:61225818
19:61226271	19:61226236
19:61226271	19:61226647
11:113729428	11:113729439
11:113729428	11:113729414
11:113729428	11:113729354
9:119972324	9:119973353
9:119972324	9:119972366
9:119972324	9:119973359
9:119972324	9:119973378
8:70833633	8:70833455
8:70833633	8:70833311
8:70833633	8:70833322
18:39363303	18:39363147
18:39363303	18:39363387
18:39363303	18:39363348
18:39363303	18:39363433
18:39363303	18:39363170
2:126521986	2:126521817
2:126521986	2:126521978
2:126521986	2:126521794
2:126521986	2:126521842
12:108352748	12:108353059
12:108352748	12:108352884
12:108352748	12:108353036
12:108352748	12:108353241
12:108352748	12:108352861
12:108352748	12:108353028
8:120342420	8:120342533
8:120342420	8:120342515
12:108318790	12:108318560
12:108318790	12:108318583
12:108318790	12:108318788
12:108318790	12:108318479
12:108318790	12:108318517
12:108318790	12:108318487
12:108318790	12:108318599
12:108318790	12:108318587
18:11055249	18:11054756
18:11055249	18:11054777
18:11055249	18:11055424
18:11055249	18:11055019
18:11055249	18:11054770
18:11055249	18:11055001
18:11055249	18:11055015
18:11055249	18:11054895
18:11055249	18:11054821
17:86776578	17:86776550
17:86776578	17:86776567
16:45844278	16:45843929
16:45844278	16:45844188
16:45844278	16:45843891
16:45844278	16:45843821
16:45844278	16:45844131
16:45844278	16:45843966
16:45844278	16:45844307
9:121301576	9:121301566
9:121301576	9:121301583
4:9790668	4:9790688
4:9790668	4:9790676
4:9790668	4:9790655
4:9790668	4:9790694
6:114862849	6:114862847
6:114862849	6:114862839
6:114862849	6:114862810
6:31126796	6:31126842
6:31126796	6:31126828
6:31126796	6:31126822
6:31126796	6:31126803
6:31126796	6:31126700
6:31126796	6:31126682
2:167808855	2:167808868
2:167808855	2:167809048
2:167808855	2:167808947
15:25774157	15:25774297
15:25774157	15:25774300
7:139559922	7:139559949
7:139559922	7:139559940
2:163642985	2:163642945
2:163642985	2:163642828
2:163642985	2:163642865
19:57324970	19:57325026
19:57324970	19:57324953
19:57324970	19:57325080
19:43886382	19:43886419
19:43886382	19:43886324
2:74655560	2:74655605
2:74655560	2:74655608
2:74655560	2:74655611
2:74655560	2:74655567
2:74655560	2:74655987
2:74655560	2:74655754
2:167695650	2:167695641
2:167695650	2:167695670
4:118148200	4:118147624
4:118148200	4:118147808
4:118148200	4:118147769
4:118148200	4:118147617
15:11383957	15:11383933
15:11383957	15:11383946
9:119368189	9:119368048
9:119368189	9:119368149
9:119368189	9:119368089
9:119368189	9:119368053
19:57325090	19:57324953
19:57325090	19:57324980
1:74395534	1:74395536
1:74395534	1:74395542
17:26506392	17:26506509
17:26506392	17:26506603
11:45980354	11:45980360
11:45980354	11:45980203
11:45980354	11:45980363
11:45980354	11:45980190
11:45980354	11:45980375
4:131799753	4:131799747
4:131799753	4:131799762
4:131799753	4:131799744
6:31079750	6:31079739
6:31079750	6:31079744
6:31079750	6:31079781
6:31079750	6:31079655
9:21792796	9:21792905
9:21792796	9:21792884
14:55146930	14:55146943
14:55146930	14:55146991
14:55146930	14:55146975
11:120820943	11:120821077
11:120820943	11:120821034
11:120820943	11:120821051
11:120820943	11:120821044
11:120820943	11:120816181
11:120820943	11:120820065
11:78159932	11:78159964
11:78159932	11:78159942
11:78159932	11:78160068
11:78159932	11:78160058
11:78159932	11:78160063
11:78159932	11:78159978
11:78159932	11:78160175
11:5064062	11:5064070
11:5064062	11:5064127
11:5064062	11:5064137
11:5064062	11:5064160
11:5064062	11:5064152
11:5064062	11:5064211
4:141872020	4:141871997
4:141872020	4:141871332
7:140923158	7:140923294
7:140923158	7:140923245
7:141924333	7:141924364
7:141924333	7:141924341
7:141924333	7:141924347
7:141924333	7:141924367
13:74363655	13:74363649
13:74363655	13:74363632
13:74363655	13:74363620
11:120009444	11:120009658
11:120009444	11:120009464
11:120009444	11:120009645
11:120009444	11:120010140
8:124310570	8:124310536
8:124310570	8:124310523
11:117319139	11:117319023
11:117319139	11:117319171
15:86222023	15:86222032
15:86222023	15:86222195
3:88420735	3:88420739
3:88420735	3:88420602
3:88420735	3:88420594
3:88420735	3:88421112
3:88420735	3:88420913
3:88420735	3:88421132
3:88420735	3:88421095
12:76128852	12:76129029
12:76128852	12:76129039
15:39869169	15:39869174
15:39869169	15:39869162
13:29769881	13:29769802
13:29769881	13:29769825
19:47338654	19:47338785
19:47338654	19:47338634
11:74867687	11:74867774
11:74867687	11:74867648
11:74867687	11:74867697
11:74867687	11:74867625
11:74867687	11:74867679
6:84135100	6:84134940
6:84135100	6:84135103
5:101765061	5:101765051
5:101765061	5:101765063
6:114921169	6:114920662
6:114921169	6:114920524
6:114921169	6:114921408
6:114921169	6:114920743
15:59680522	15:59680527
15:59680522	15:59680709
13:38164857	13:38164843
13:38164857	13:38164847
11:98973716	11:98973722
11:98973716	11:98973922
7:19370228	7:19370193
7:19370228	7:19370554
7:19370228	7:19370208
18:60750631	18:60750723
18:60750631	18:60750658
2:13011016	2:13011012
2:13011016	2:13010319
2:13011016	2:13010231
2:13011016	2:13011023
2:13011016	2:13010307
2:13011016	2:13010309
2:13011016	2:13010298
2:13011016	2:13010466
2:13011016	2:13010108
2:13011016	2:13010344
2:13011016	2:13011177
2:13011016	2:13009846
2:13011016	2:13009898
2:92401173	2:92401154
2:92401173	2:92401161
2:92401173	2:92401182
2:92401173	2:92401188
2:92401173	2:92401179
2:92401173	2:92401150
19:43886290	19:43889428
19:43886290	19:43889341
19:43886290	19:43890290
19:43886290	19:43889413
5:101854378	5:101854207
5:101854378	5:101854203
14:30881018	14:30880976
14:30881018	14:30880965
5:125298516	5:125298548
5:125298516	5:125298537
15:25638191	15:25638210
15:25638191	15:25638107
14:105168225	14:105168103
14:105168225	14:105168105
3:88420929	3:88420739
3:88420929	3:88421112
8:70833307	8:70833311
8:70833307	8:70833322
12:111425394	12:111425556
12:111425394	12:111425367
11:60140067	11:60140098
11:60140067	11:60140104
5:33456097	5:33456107
5:33456097	5:33456112
7:140923153	7:140923282
7:140923153	7:140923294
7:140923153	7:140923245
2:170094419	2:170094544
2:170094419	2:170094539
8:125670064	8:125670119
8:125670064	8:125670046
8:125670064	8:125670121
8:125670064	8:125670062
8:125670064	8:125670041
8:125670064	8:125670142
4:140858477	4:140858386
4:140858477	4:140858434
19:6939284	19:6939272
19:6939284	19:6939290
19:6939284	19:6938724
11:120280642	11:120280616
11:120280642	11:120280548
11:120280642	11:120280735
11:120280642	11:120280607
11:120280642	11:120280751
11:120280642	11:120282519
11:120280642	11:120280595
11:120280642	11:120280709
11:120280642	11:120280543
8:104593940	8:104594960
8:104593940	8:104594975
11:98290238	11:98289973
11:98290238	11:98289925
11:98290238	11:98289960
11:98290238	11:98289880
7:127109030	7:127109074
7:127109030	7:127105642
13:62971835	13:62968634
13:62971835	13:62968654
13:62971835	13:62968656
13:62971835	13:62968658
1:87510137	1:87510209
1:87510137	1:87510116
1:87510137	1:87510125
5:138847064	5:138850304
5:138847064	5:138850219
5:138847064	5:138850234
5:138847064	5:138850251
11:115850900	11:115850755
11:115850900	11:115850903
17:46629346	17:46629369
17:46629346	17:46629377
17:46629346	17:46629365
17:46629346	17:46629031
17:46629346	17:46629339
17:46629346	17:46629373
17:46629346	17:46628792
17:46629346	17:46628761
17:46629346	17:46629362
17:46629346	17:46628630
17:46629346	17:46629047
17:46629346	17:46629278
17:46629346	17:46629308
17:46629346	17:46629056
17:46629346	17:46629052
17:46629346	17:46629018
17:46629346	17:46629035
17:46629346	17:46629024
17:46629346	17:46628960
17:46629346	17:46628948
17:46629346	17:46629673
11:116101948	11:116101980
11:116101948	11:116102066
11:116101948	11:116103804
11:116101948	11:116103815
11:8468703	11:8468810
11:8468703	11:8468646
11:8468703	11:8468691
11:8468703	11:8468607
16:45843813	16:45843929
16:45843813	16:45843891
16:45843813	16:45843821
16:45843813	16:45843966
16:45843813	16:45844387
16:45843813	16:45843824
16:45843813	16:45844405
16:45843813	16:45844418
16:45843813	16:45844394
16:45843813	16:45844499
16:45843813	16:45844486
16:45843813	16:45843400
16:45843813	16:45844143
16:45843813	16:45844411
7:97325671	7:97325561
7:97325671	7:97325576
7:97325671	7:97325669
7:97325671	7:97325601
7:97325671	7:97325591
7:97325671	7:97325565
18:81252375	18:81252514
18:81252375	18:81252494
18:81252375	18:81252339
3:101500467	3:101500637
3:101500467	3:101500593
9:64089169	9:64089191
9:64089169	9:64089182
9:64089169	9:64089160
2:35214657	2:35215572
2:35214657	2:35215554
2:35214657	2:35215568
7:25422845	7:25422836
7:25422845	7:25422834
7:25422845	7:25422818
12:73744301	12:73739910
12:73744301	12:73744325
12:73744301	12:73739881
11:79790723	11:79790719
11:79790723	11:79790842
11:79790723	11:79793576
14:30292990	14:30292969
14:30292990	14:30293013
14:30292990	14:30292870
15:36210429	15:36210495
15:36210429	15:36210421
13:35503534	13:35503661
13:35503534	13:35503545
13:35503534	13:35503551
13:35503534	13:35503517
13:35503534	13:35503664
13:35503534	13:35503669
17:33912211	17:33912193
17:33912211	17:33912196
9:20873505	9:20872958
9:20873505	9:20872874
10:81286006	10:81285974
10:81286006	10:81286030
10:81286006	10:81286039
1:36781792	1:36781789
1:36781792	1:36781544
1:36781792	1:36781809
1:36781792	1:36781841
1:36781792	1:36781654
14:65262440	14:65262454
14:65262440	14:65262463
7:45712191	7:45713400
7:45712191	7:45713388
1:74099273	1:74099099
1:74099273	1:74098706
1:74099273	1:74098717
1:74099273	1:74098713
1:74099273	1:74098555
1:74099273	1:74098373
1:74099273	1:74098540
1:74099273	1:74098530
1:74099273	1:74098368
1:74099273	1:74098696
4:133579864	4:133579852
4:133579864	4:133579872
15:33008067	15:33007935
15:33008067	15:33008078
7:141482235	7:141482239
7:141482235	7:141482427
7:141482235	7:141482161
7:141482235	7:141482187
7:141482235	7:141482222
7:141482235	7:141482415
7:141482235	7:141482417
7:141482235	7:141482247
8:70711175	8:70711199
8:70711175	8:70711187
8:70711175	8:70711146
5:97935635	5:97935670
5:97935635	5:97935733
5:97935635	5:97935726
5:97935635	5:97935750
5:97935635	5:97935633
5:97935635	5:97935659
12:55490631	12:55493341
12:55490631	12:55490524
7:30955383	7:30958761
7:30955383	7:30958752
7:30955383	7:30955293
7:30955383	7:30955395
7:30955383	7:30955399
7:30955383	7:30955373
13:93606918	13:93606966
13:93606918	13:93607394
4:139207769	4:139207795
4:139207769	4:139207756
19:37495770	19:37495632
19:37495770	19:37495651
19:37495770	19:37495619
5:114923559	5:114923568
5:114923559	5:114923575
12:105005089	12:105005107
12:105005089	12:105005091
17:46629694	17:46629278
17:46629694	17:46629024
17:46629694	17:46629649
17:46629694	17:46629382
17:46629694	17:46628960
17:46629694	17:46629673
17:46629694	17:46629375
17:46629694	17:46628923
17:46629694	17:46628245
17:46629694	17:46628618
9:55546219	9:55546233
9:55546219	9:55545853
9:55546219	9:55546244
9:55546219	9:55542284
9:55546219	9:55545712
7:28278302	7:28278312
7:28278302	7:28278261
7:28278302	7:28278274
9:63755090	9:63754989
9:63755090	9:63754947
9:63755090	9:63755316
9:108054157	9:108054120
9:108054157	9:108054118
9:108054157	9:108054076
18:11054669	18:11054777
18:11054669	18:11054699
18:11054669	18:11055424
18:11054669	18:11054770
18:11054669	18:11055001
18:11054669	18:11054759
18:11054669	18:11055116
18:11054669	18:11054692
18:11054669	18:11054786
18:11054669	18:11055015
18:11054669	18:11054895
18:11054669	18:11054872
18:11054669	18:11054821
18:11054669	18:11055124
18:11054669	18:11055121
18:11054669	18:11055026
18:11054669	18:11055008
18:11054669	18:11055085
18:11054669	18:11054885
6:6183299	6:6183282
6:6183299	6:6183269
6:6183299	6:6184293
6:6183299	6:6183307
14:45495911	14:45495938
14:45495911	14:45495920
14:45495911	14:45495942
8:85700537	8:85700540
8:85700537	8:85700547
8:85700537	8:85700521
8:85700537	8:85700701
8:85700537	8:85700526
8:85700537	8:85700532
8:85700537	8:85700568
8:84785289	8:84784874
8:84785289	8:84784632
8:84785289	8:84785082
8:84785289	8:84785566
8:84785289	8:84784685
8:84785289	8:84784618
8:84785289	8:84785270
11:98919370	11:98922542
11:98919370	11:98922475
8:70717173	8:70717161
8:70717173	8:70717180
2:33967346	2:33967344
2:33967346	2:33967321
9:114853781	9:114853777
9:114853781	9:114853747
4:83284907	4:83285105
4:83284907	4:83284915
4:83284907	4:83284637
11:77777488	11:77777687
11:77777488	11:77777673
11:77777488	11:77777727
4:141310795	4:141308938
4:141310795	4:141309445
19:42509520	19:42509487
19:42509520	19:42509472
19:42509520	19:42509337
4:83284725	4:83284688
4:83284725	4:83284603
5:136312822	5:136312864
5:136312822	5:136312892
5:136312822	5:136312868
5:136312822	5:136312877
5:136312822	5:136312791
5:136312822	5:136312775
9:121890851	9:121890842
9:121890851	9:121890865
9:121890851	9:121890704
9:121890851	9:121890872
9:121890851	9:121890702
4:126098081	4:126098090
4:126098081	4:126098086
4:126098081	4:126098095
19:61226683	19:61226261
19:61226683	19:61226250
19:61226683	19:61226275
19:61226683	19:61225698
19:61226683	19:61226266
19:61226683	19:61226052
19:61226683	19:61226239
19:61226683	19:61225818
19:61226683	19:61226236
19:61226683	19:61226647
19:61226683	19:61226587
19:61226683	19:61226047
19:61226683	19:61226065
19:61226683	19:61226569
19:61226683	19:61226072
19:61226683	19:61225397
19:61226683	19:61226679
12:104822258	12:104822294
12:104822258	12:104822475
10:45485688	10:45485740
10:45485688	10:45485867
8:13491871	8:13491867
8:13491871	8:13491858
8:13491871	8:13491791
8:13491871	8:13493257
8:13491871	8:13493239
15:75998820	15:75997980
15:75998820	15:75998123
15:75998820	15:75997699
15:75998820	15:75998711
15:75998820	15:75997998
15:75998820	15:75998949
15:75998820	15:75997957
15:75998820	15:75998797
15:75998820	15:75997846
15:75998820	15:75998147
15:75998820	15:75997840
15:75998820	15:75998904
15:75998820	15:75998824
15:75998820	15:75998766
15:75998820	15:75998910
15:75998820	15:75998716
15:75998820	15:75997961
15:75998820	15:75997922
15:75998820	15:75998010
15:75998820	15:75997864
15:75998820	15:75998843
15:75998820	15:75997856
15:75998820	15:75998788
15:75998820	15:75997683
15:75998820	15:75997867
11:95830604	11:95830758
11:95830604	11:95830598
11:95830604	11:95830725
11:95830604	11:95830570
11:95830604	11:95830576
11:95830604	11:95830574
11:95830604	11:95830999
11:95830604	11:95830616
11:95830604	11:95831013
11:95830604	11:95831011
11:95830604	11:95830801
11:95830604	11:95830986
11:95830604	11:95830775
11:95830604	11:95830784
11:95830604	11:95830581
15:57936203	15:57936194
15:57936203	15:57936054
9:96962645	9:96962450
9:96962645	9:96962429
10:110924068	10:110923977
10:110924068	10:110923958
5:24474960	5:24474705
5:24474960	5:24475005
5:24474960	5:24474672
5:24474960	5:24474642
5:24474960	5:24475034
5:24474960	5:24474363
5:24474960	5:24474948
5:24474960	5:24475022
5:24474960	5:24474968
5:24474960	5:24474644
5:24474960	5:24474974
5:24474960	5:24475019
5:24474960	5:24474636
5:24474960	5:24474724
5:24474960	5:24474388
5:24474960	5:24474688
5:24474960	5:24475030
5:24474960	5:24474718
19:43896745	19:43896827
19:43896745	19:43896778
19:43896745	19:43896739
14:18232201	14:18236306
14:18232201	14:18228362
15:85674542	15:85673531
15:85674542	15:85678180
13:24280458	13:24280470
13:24280458	13:24280468
13:24280458	13:24280449
8:125670058	8:125670121
8:125670058	8:125670062
8:125670058	8:125670041
8:125670058	8:125670030
8:125670058	8:125670142
8:125670058	8:125670181
11:5064113	11:5064070
11:5064113	11:5064127
11:5064113	11:5064137
11:5064113	11:5064160
11:5064113	11:5064152
11:5064113	11:5064211
11:5064113	11:5064220
18:38264717	18:38264619
18:38264717	18:38264722
11:69361190	11:69361195
11:69361190	11:69361201
17:69439607	17:69439597
17:69439607	17:69439585
17:69439607	17:69439775
15:76699058	15:76700039
15:76699058	15:76699042
11:98973698	11:98973710
11:98973698	11:98973722
11:98973698	11:98973922
11:98973698	11:98973925
10:80971848	10:80971894
10:80971848	10:80971805
17:49458599	17:49458557
17:49458599	17:49458568
17:49458599	17:49458555
17:49458599	17:49458551
12:111770726	12:111770750
12:111770726	12:111770860
12:111770726	12:111770882
1:34239903	1:34239915
1:34239903	1:34239912
7:35172753	7:35172768
7:35172753	7:35172520
6:72627546	6:72627555
6:72627546	6:72627350
6:72627546	6:72627569
4:63221856	4:63222059
4:63221856	4:63221636
9:31316230	9:31316286
9:31316230	9:31316276
7:140114801	7:140115180
7:140114801	7:140115190
19:40873442	19:40873438
19:40873442	19:40873452
19:40873442	19:40873455
8:70820625	8:70820615
8:70820625	8:70820601
17:70818124	17:70818130
17:70818124	17:70818186
17:70818124	17:70818218
17:70818124	17:70818198
17:70818124	17:70818112
17:70818124	17:70818107
17:70818124	17:70818189
17:70818124	17:70818213
17:70818124	17:70818095
17:70818124	17:70818091
14:55762687	14:55762813
14:55762687	14:55762712
14:55762687	14:55762717
14:55762687	14:55762731
14:55762687	14:55762729
14:55762687	14:55762798
11:19016410	11:19016291
11:19016410	11:19016427
11:19016410	11:19015980
11:19016410	11:19016402
11:19016410	11:19015972
11:19016410	11:19015996
9:111311625	9:111311773
9:111311625	9:111311601
4:101550778	4:101550793
4:101550778	4:101550791
4:101550778	4:101550804
8:11005540	8:11006006
8:11005540	8:11006035
4:134507423	4:134507125
4:134507423	4:134507100
4:134507423	4:134507388
4:134507423	4:134507092
11:100330505	11:100330498
11:100330505	11:100330483
11:100330505	11:100330523
2:26487845	2:26487747
2:26487845	2:26487804
3:53477715	3:53477687
3:53477715	3:53477709
3:53477715	3:53477834
3:53477715	3:53477720
3:53477715	3:53477678
4:72088288	4:72088262
4:72088288	4:72088272
17:34853959	17:34853953
17:34853959	17:34853971
14:65981164	14:65981028
14:65981164	14:65981035
6:125312288	6:125312294
6:125312288	6:125312190
1:89581559	1:89581593
1:89581559	1:89581538
1:89581559	1:89581449
1:89581559	1:89581797
1:89581559	1:89581318
1:89581559	1:89581326
17:71695946	17:71695959
17:71695946	17:71695981
17:71695946	17:71696173
7:28819969	7:28820005
7:28819969	7:28816370
7:28819969	7:28816390
7:28819969	7:28821767
17:47672585	17:47672687
17:47672585	17:47672914
17:47672585	17:47672588
17:47672585	17:47672609
17:47672585	17:47672571
17:47672585	17:47672679
17:47672585	17:47672699
17:47672585	17:47672567
17:47672585	17:47672713
17:47672585	17:47672682
17:47672585	17:47672697
8:121947768	8:121947604
8:121947768	8:121947622
8:121947768	8:121947626
10:80583996	10:80583843
10:80583996	10:80584005
14:51908900	14:51908883
14:51908900	14:51908360
14:51908900	14:51908881
14:51908900	14:51910714
14:51908900	14:51908372
14:51908900	14:51905447
8:70087085	8:70088308
8:70087085	8:70088198
8:70087085	8:70088196
8:70087085	8:70087117
4:139965337	4:139965377
4:139965337	4:139966641
4:139965337	4:139966647
4:139965337	4:139966428
1:92848701	1:92848748
1:92848701	1:92848727
1:92848701	1:92848966
12:99407266	12:99407294
12:99407266	12:99407253
12:99407266	12:99407248
12:99407266	12:99407027
12:99407266	12:99407002
5:113114475	5:113114531
5:113114475	5:113114462
5:113114475	5:113114308
5:113114475	5:113114536
11:117320089	11:117320085
11:117320089	11:117320110
11:74867741	11:74867697
11:74867741	11:74867625
11:74867741	11:74867691
11:69407457	11:69407444
11:69407457	11:69406378
11:69407457	11:69407435
11:69407457	11:69406372
7:79736867	7:79736595
7:79736867	7:79736604
7:79736867	7:79736626
9:35032671	9:35032666
9:35032671	9:35032676
15:76457672	15:76457666
15:76457672	15:76457757
17:28007868	17:28007987
17:28007868	17:28007862
10:106957874	10:106957865
10:106957874	10:106957834
4:129019190	4:129020517
4:129019190	4:129019185
17:46018794	17:46018773
17:46018794	17:46018758
17:46018794	17:46018764
17:46018794	17:46018701
3:51333355	-
3:36447206	-
1:167356611	-
10:80971816	-
7:128474458	-
15:85698821	-
15:85698800	-
16:87671522	-
16:30237018	-
5:25051811	-
5:121828860	-
10:77287897	-
11:82007184	-
18:5116427	-
14:101771261	-
9:116085703	-
14:25185719	-
9:119972341	-
4:141861924	-
19:42755650	-
4:116826939	-
4:138320201	-
10:60817018	-
6:144202673	-
15:97154540	-
19:6127086	-
19:57272013	-
9:96962760	-
11:98919269	-
9:90051995	-
11:86861673	-
10:80669035	-
8:15014295	-
15:73068406	-
9:43777795	-
5:122953669	-
6:116136382	-
7:49399885	-
5:111435797	-
16:87671575	-
6:31126727	-
9:63744159	-
17:56099259	-
4:133262028	-
16:24922119	-
8:12864271	-
12:111770696	-
6:134261802	-
3:79532997	-
19:43833683	-
4:43422189	-
3:98029064	-
11:104316761	-
2:167417546	-
19:17857037	-
4:132532737	-
5:46033436	-
4:139965357	-
14:45552394	-
10:50895401	-
3:129475133	-
9:110904296	-
6:118562531	-
6:104226916	-
9:46197416	-
10:81390485	-
9:65675936	-
3:69253017	-
4:133836701	-
11:118637855	-
1:168475583	-
2:72903176	-
5:124222992	-
9:21632069	-
1:181038233	-
17:29540716	-
10:94095805	-
6:9296311	-
7:125392653	-
12:100959145	-
15:100038294	-
15:36490849	-
8:111625060	-
4:134402787	-
6:91580004	-
14:18226204	-
7:67562548	-
7:63901395	-
6:21795310	-
11:21378502	-
7:24588631	-
11:46309440	-
4:132946287	-
15:64178849	-
6:72052775	-
7:118574276	-
14:18232191	-
16:30775176	-
2:84741114	-
8:83583484	-
8:85872176	-
4:138967394	-
14:59557604	-
7:128527672	-
9:77674907	-
8:40879133	-
4:141308815	-
15:64403091	-
3:103864164	-
11:119192518	-
1:171118726	-
19:23090187	-
4:135955652	-
9:78247642	-
6:108570677	-
3:27279714	-
4:135598156	-
5:125191675	-
4:134507108	-
18:37880093	-
11:106635461	-
2:172477796	-
14:20724356	-
14:79509360	-
18:56551391	-
16:91611493	-
5:111435754	-
15:40168276	-
16:75765123	-
19:46763106	-
10:44367199	-
5:122547317	-
16:10784306	-
14:34398674	-
3:66082432	-
5:146188978	-
19:20426547	-
5:103592017	-
16:78376499	-
8:83573737	-
5:96308286	-
10:122047655	-
12:35192170	-
1:39471269	-
8:87472974	-
6:140017410	-
1:176997791	-
17:71695940	-
7:25623853	-
19:30010683	-
4:128743517	-
7:113738013	-
9:45272299	-
12:73520592	-
6:72215738	-
5:66034963	-
7:137322394	-
16:76357297	-
12:73355521	-
8:44957974	-
9:42997162	-
14:70176524	-
10:60805814	-
4:72088295	-
18:38847131	-
15:86074550	-
3:9475165	-
1:75316208	-
12:84718015	-
15:81969169	-
18:56551401	-
14:45539841	-
17:28926403	-
14:121159654	-
11:77784012	-
8:124678912	-
6:84464393	-
3:138282279	-
12:112108079	-
3:36447190	-
11:77784023	-
17:10342769	-
14:61762270	-
16:45724442	-
5:121215261	-
4:62700052	-
11:117959969	-
17:29247975	-
17:28992422	-
2:157557888	-
6:108458809	-
4:150749008	-
10:101631220	-
5:67245545	-
6:19652472	-
13:46630986	-
8:124500001	-
12:99285079	-
5:73382330	-
4:117342194	-
10:39616398	-
15:84557821	-
6:24458202	-
5:25058737	-
15:85653792	-
15:25638067	-
4:141575103	-
5:66122656	-
9:63755117	-
16:78549342	-
18:74960155	-
17:29296528	-
7:45495042	-
13:112058276	-
11:51876601	-
15:55121419	-
4:123688452	-
6:84464231	-
15:87327190	-
11:117320096	-
13:12538129	-
18:61879967	-
15:79725489	-
5:8112485	-
8:71372249	-
14:20757477	-
5:35055234	-
15:38602237	-
2:167656777	-
12:112334685	-
5:97935757	-
12:111933132	-
6:145642239	-
19:55287502	-
15:25758420	-
18:54158795	-
4:118286899	-
17:28885742	-
15:85266197	-
4:135440084	-
19:53321411	-
15:76305712	-
9:57646316	-
5:125191829	-
3:129475144	-
10:81043040	-
12:83791587	-
17:29540594	-
4:139684323	-
6:47819917	-
18:5116402	-
2:167188401	-
6:24348413	-
5:127691916	-
18:69666800	-
19:10710310	-
6:17170651	-
10:118605527	-
14:55567016	-
11:83067237	-
8:80784819	-
16:22765754	-
7:118574257	-
12:109858899	-
19:5649645	-
19:53343462	-
19:57353510	-
15:88868815	-
14:54366723	-
