IncludedSite	BackupSite
12:21784367	12:21784370
19:6830227	19:6830375
19:6830227	19:6830204
17:36989292	17:36988697
17:36989292	17:36988694
17:36989292	17:36989434
17:36989292	17:36988772
4:135156272	4:135156294
4:135156272	4:135155936
4:135156272	4:135151710
4:135156272	4:135155811
4:135156272	4:135155356
4:135156272	4:135151535
3:127695571	3:127695534
3:127695571	3:127695563
3:127695571	3:127695541
2:180642602	2:180642624
2:180642602	2:180642650
2:180642602	2:180642677
2:180642602	2:180642638
2:180642602	2:180642668
2:54437205	2:54436496
2:54437205	2:54436031
6:30958385	6:30958208
6:30958385	6:30958618
2:29845821	2:29846358
2:29845821	2:29846345
2:29845821	2:29846369
2:29845821	2:29845842
2:61815608	2:61816203
2:61815608	2:61811936
2:61815608	2:61815779
2:61815608	2:61815585
2:61815608	2:61816195
4:147124861	4:147124848
4:147124861	4:147124866
4:147124861	4:147124948
4:147124861	4:147124928
1:38626624	1:38626601
1:38626624	1:38626825
1:38626624	1:38626733
1:38626624	1:38626506
18:9214026	18:9212206
18:9214026	18:9214275
18:9214026	18:9214296
4:78212057	4:78211954
4:78212057	4:78211970
4:78212057	4:78212190
4:78212057	4:78211798
4:78212057	4:78211796
16:92696035	16:92695722
16:92696035	16:92695801
16:92696035	16:92698997
16:92696035	16:92695727
16:92696035	16:92695699
16:92696035	16:92695719
16:92696035	16:92695815
16:92696035	16:92695709
16:92696035	16:92695687
11:61684674	11:61684523
11:61684674	11:61684998
11:61684674	11:61684665
11:61684674	11:61684687
11:61684674	11:61684689
11:61684674	11:61684729
6:110645959	6:110645986
6:110645959	6:110645953
6:110645959	6:110645859
18:60804717	18:60804870
18:60804717	18:60808135
19:61226052	19:61226250
19:61226052	19:61226815
19:61226052	19:61225985
19:61226052	19:61226369
19:61226052	19:61226239
19:61226052	19:61226367
19:61226052	19:61226275
12:24252398	12:24252073
12:24252398	12:24251971
12:24252398	12:24252071
12:24252398	12:24252122
2:61815602	2:61816203
2:61815602	2:61811936
2:61815602	2:61815779
2:61815602	2:61815585
2:61815602	2:61815962
2:61815602	2:61816195
2:61815602	2:61816112
2:61815602	2:61812105
19:61226271	19:61226250
19:61226271	19:61225985
19:61226271	19:61226369
19:61226271	19:61226239
17:57087652	17:57087646
17:57087652	17:57087632
8:125670041	8:125670064
8:125670041	8:125670181
8:125670041	8:125670283
8:125670041	8:125670062
8:125670041	8:125670163
8:125670041	8:125670030
8:125670041	8:125670058
2:124090528	2:124090322
2:124090528	2:124090326
2:124090528	2:124090525
12:22906063	12:22906098
12:22906063	12:22906220
12:22906063	12:22906074
12:22906063	12:22906237
12:22906063	12:22906211
12:22906063	12:22906078
12:22906063	12:22906536
12:22906063	12:22906104
11:117484321	11:117484483
11:117484321	11:117484315
11:117484321	11:117484329
11:117484321	11:117484355
12:27343069	12:27343064
12:27343069	12:27343037
12:27343069	12:27342929
12:27343069	12:27343137
12:27343069	12:27342940
12:27343069	12:27343066
12:27343069	12:27342693
12:27343069	12:27342689
12:27343069	12:27341826
16:92695938	16:92695722
16:92695938	16:92695801
16:92695938	16:92698997
16:92695938	16:92695727
16:92695938	16:92695699
16:92695938	16:92695719
16:92695938	16:92695815
16:92695938	16:92695709
16:92695938	16:92695687
16:92695938	16:92694843
16:92695938	16:92695712
17:34139564	17:34139507
17:34139564	17:34139518
19:37686535	19:37686733
19:37686535	19:37686556
11:102224735	11:102224758
11:102224735	11:102224783
12:22906055	12:22906098
12:22906055	12:22906220
12:22906055	12:22906074
12:22906055	12:22906237
12:22906055	12:22906211
12:22906055	12:22906536
12:22906055	12:22906104
12:27342480	12:27343037
12:27342480	12:27342929
2:152413916	2:152413943
2:152413916	2:152414047
2:152413916	2:152413963
9:91364483	9:91362563
9:91364483	9:91362575
11:83067094	11:83067274
11:83067094	11:83067237
11:4954035	11:4949389
11:4954035	11:4949380
11:4954035	11:4949351
11:4954035	11:4953995
2:152414008	2:152413943
2:152414008	2:152414047
2:152414008	2:152413997
2:152414008	2:152413963
2:152414008	2:152414132
2:152414008	2:152414156
19:5654781	19:5654803
19:5654781	19:5654798
19:5654781	19:5654838
2:152707648	2:152707655
2:152707648	2:152707864
2:152707648	2:152707734
2:152707648	2:152707700
2:152707648	2:152707638
2:152707648	2:152707728
2:152707648	2:152707740
2:180642654	2:180642624
2:180642654	2:180642650
2:180642654	2:180642677
2:180642654	2:180642668
8:26979679	8:26979951
8:26979679	8:26979820
3:158561373	3:158561388
3:158561373	3:158561384
1:59484321	1:59484298
1:59484321	1:59484324
1:59484321	1:59484369
1:59484321	1:59484389
1:59484321	1:59484683
12:22906226	12:22906098
12:22906226	12:22906220
12:22906226	12:22906074
2:179442777	2:179442769
2:179442777	2:179442781
11:102438661	11:102438675
11:102438661	11:102437374
11:102438661	11:102438825
11:102438661	11:102437471
11:102438661	11:102438426
11:102438661	11:102438657
2:74655679	2:74655742
2:74655679	2:74655652
2:74655679	2:74655718
5:121828764	5:121828785
5:121828764	5:121828832
3:82876400	3:82876457
3:82876400	3:82876394
3:82876400	3:82876419
3:82876400	3:82876382
7:87246570	7:87246669
7:87246570	7:87246648
19:40873438	19:40873162
19:40873438	19:40873192
19:40873438	19:40873201
19:40873438	19:40873281
19:40873438	19:40873452
19:40873438	19:40873181
19:40873438	19:40873310
19:40873438	19:40873361
12:22906031	12:22906098
12:22906031	12:22906220
12:22906031	12:22906074
1:63273295	1:63273288
1:63273295	1:63273286
1:63273295	1:63273207
2:33641089	2:33636301
2:33641089	2:33641886
8:110168225	8:110168230
8:110168225	8:110168212
11:85891340	11:85886588
11:85891340	11:85886713
12:24252061	12:24252073
12:24252061	12:24251971
12:24252061	12:24252071
12:24252061	12:24252371
12:24252061	12:24252182
12:24252061	12:24252122
12:27343143	12:27343064
12:27343143	12:27343037
12:27343143	12:27342929
12:27343143	12:27342689
9:65520336	9:65520244
9:65520336	9:65520235
9:65520336	9:65520328
2:152413925	2:152413943
2:152413925	2:152414047
2:152413925	2:152413997
2:152413925	2:152413963
2:152413925	2:152414132
2:152413925	2:152414394
2:152413925	2:152414156
6:8956970	6:8957108
6:8956970	6:8957106
6:8956970	6:8956980
6:8956970	6:8957096
7:79515699	7:79515661
7:79515699	7:79512674
7:79515699	7:79515617
19:37686539	19:37686733
19:37686539	19:37686556
2:77171904	2:77171997
2:77171904	2:77172353
2:77171904	2:77172390
4:117342844	4:117342816
4:117342844	4:117343002
4:117342844	4:117342269
5:121828870	5:121828860
5:121828870	5:121828785
5:121828870	5:121828832
5:121828870	5:121828663
5:121828870	5:121828762
5:121828870	5:121828774
12:27343071	12:27343064
12:27343071	12:27343037
12:27343071	12:27342929
12:27343071	12:27343137
12:27343071	12:27342940
12:27343071	12:27343066
12:27343071	12:27342693
12:27343071	12:27342689
12:27343071	12:27342274
12:27343071	12:27341826
12:27343071	12:27341829
12:27343071	12:27341875
19:61226377	19:61226250
19:61226377	19:61226815
19:61226377	19:61225985
19:61226377	19:61226369
19:61226377	19:61226239
19:61226377	19:61226367
19:61226377	19:61226275
12:22906193	12:22906098
12:22906193	12:22906220
12:22906193	12:22906074
5:117241045	5:117241056
5:117241045	5:117241989
5:117241045	5:117241128
5:117241045	5:117241291
5:117241045	5:117241201
5:117241045	5:117241004
5:117241045	5:117241211
16:92695804	16:92695722
16:92695804	16:92695801
16:92695804	16:92698997
16:92695804	16:92695727
16:92695804	16:92695699
16:92695804	16:92695719
16:92695804	16:92695815
16:92695804	16:92695709
16:92695804	16:92695687
12:22906213	12:22906098
12:22906213	12:22906220
12:22906213	12:22906074
8:48555942	8:48560578
8:48555942	8:48555940
8:48555942	8:48555970
8:48555942	8:48555622
8:48555942	8:48555184
8:48555942	8:48555161
8:48555942	8:48555174
8:48555942	8:48555189
8:48555942	8:48554994
8:48555942	8:48554869
8:48555942	8:48555180
8:48555942	8:48555935
8:48555942	8:48555158
8:48555942	8:48554984
8:48555942	8:48555469
8:48555942	8:48555641
8:48555942	8:48555650
8:48555942	8:48555955
1:190170610	1:190173121
1:190170610	1:190170629
1:190170610	1:190170576
2:67566020	2:67565670
2:67566020	2:67565662
2:67566020	2:67565817
6:30173535	6:30173479
6:30173535	6:30174720
6:30173535	6:30175872
11:32391329	11:32396020
11:32391329	11:32395655
11:32391329	11:32391125
12:24096994	12:24096977
12:24096994	12:24097099
12:24096994	12:24096987
12:24096994	12:24097304
1:109983116	1:109983105
1:109983116	1:109982672
4:101550778	4:101550812
4:101550778	4:101550799
3:29082984	3:29082999
3:29082984	3:29082989
3:29082984	3:29082653
19:37695510	19:37693348
19:37695510	19:37699105
19:37695510	19:37693027
19:37695510	19:37692869
19:37695510	19:37693009
19:37695510	19:37695303
19:37695510	19:37695570
19:37695510	19:37693002
19:37695510	19:37693208
19:37695510	19:37692992
19:37695510	19:37693090
19:37695510	19:37693273
19:37695510	19:37693100
19:37695510	19:37693074
19:37695510	19:37698015
19:37695510	19:37696197
19:37695510	19:37698417
19:37695510	19:37699233
19:37695510	19:37692902
19:37695510	19:37693229
19:37695510	19:37695592
19:37695510	19:37698996
6:110645981	6:110645986
6:110645981	6:110645953
6:110645981	6:110645859
7:133124775	7:133124788
7:133124775	7:133124797
2:152413979	2:152413943
2:152413979	2:152414047
2:152413979	2:152413997
2:152413979	2:152413963
2:152413979	2:152414132
2:152413979	2:152414156
1:89931345	1:89932698
1:89931345	1:89932621
1:89931345	1:89931145
19:40873187	19:40873162
19:40873187	19:40873192
19:40873187	19:40873201
19:40873187	19:40873281
19:40873187	19:40873452
19:40873187	19:40873181
19:40873187	19:40873310
19:40873187	19:40873361
5:144545903	5:144545771
5:144545903	5:144546087
5:144545903	5:144546096
12:27343135	12:27343064
12:27343135	12:27343037
12:27343135	12:27342929
12:27343135	12:27343137
12:27343135	12:27342689
5:131307529	5:131307088
5:131307529	5:131307071
5:131307529	5:131307189
5:131307529	5:131307485
12:21784389	12:21784377
12:21784389	12:21784285
12:21784389	12:21784287
12:21784389	12:21784370
12:21784389	12:21784360
12:21784379	12:21784377
12:21784379	12:21784285
12:21784379	12:21784287
12:21784379	12:21784370
12:21784379	12:21784360
12:21784379	12:21783962
12:21784379	12:21784294
12:21784379	12:21784300
12:21784379	12:21784391
12:21784379	12:21784323
12:21784379	12:21784298
2:152707706	2:152707655
2:152707706	2:152707864
2:152707706	2:152707734
2:152707706	2:152707700
2:152707706	2:152707638
2:152707706	2:152707728
2:152707706	2:152707740
4:78212068	4:78211954
4:78212068	4:78211970
4:78212068	4:78212190
4:78212068	4:78211796
12:22906018	12:22906098
12:22906018	12:22906220
12:22906018	12:22906074
12:22906018	12:22906237
12:22906018	12:22906211
12:22906018	12:22906078
12:22906018	12:22906536
12:22906018	12:22906104
10:127081553	10:127081550
10:127081553	10:127081546
10:127081553	10:127081564
10:127081553	10:127081459
8:121396237	8:121396562
8:121396237	8:121396416
8:121396237	8:121396409
8:121396237	8:121396566
8:121396237	8:121396421
8:121396237	8:121396434
1:185455474	1:185455514
1:185455474	1:185455417
10:122047655	10:122047722
10:122047655	10:122047725
12:21784307	12:21784377
12:21784307	12:21784285
12:21784307	12:21784287
12:21784307	12:21784370
12:21784307	12:21784360
12:21784307	12:21784294
12:21784307	12:21784323
3:87810107	3:87810305
3:87810107	3:87810121
3:87810107	3:87810128
3:87810107	3:87810111
4:91376484	4:91372130
4:91376484	4:91376516
4:91376484	4:91375018
3:158561376	3:158561388
3:158561376	3:158561384
4:78212060	4:78211954
4:78212060	4:78211970
4:78212060	4:78212190
4:78212060	4:78211798
4:78212060	4:78211796
4:117342826	4:117342816
4:117342826	4:117342805
4:117342826	4:117343002
4:117342826	4:117342194
4:117342826	4:117342269
2:124090336	2:124090322
2:124090336	2:124090326
2:124090336	2:124090525
1:187609495	1:187609511
1:187609495	1:187605400
1:187609495	1:187609471
16:21205095	16:21204910
16:21205095	16:21204283
16:21205095	16:21204295
16:21205095	16:21204767
16:21205095	16:21205884
16:21205095	16:21205921
16:21205095	16:21204813
16:21205095	16:21204903
16:21205095	16:21205128
19:37686526	19:37686733
19:37686526	19:37686556
3:146117684	3:146117693
3:146117684	3:146117601
10:7867540	10:7867547
10:7867540	10:7867550
10:7867540	10:7867477
10:7867540	10:7867553
10:7867540	10:7867538
10:7867540	10:7867460
10:114802076	10:114801456
10:114802076	10:114801645
10:114802076	10:114801481
2:74655663	2:74655742
2:74655663	2:74655649
2:74655663	2:74655652
2:74655663	2:74655681
2:74655663	2:74655611
2:74655663	2:74655713
2:74655663	2:74655726
2:74655663	2:74656319
2:74655663	2:74655990
2:74655663	2:74655817
2:74655663	2:74655969
2:74655663	2:74657799
2:74655663	2:74659258
2:74655663	2:74657525
2:74655663	2:74655982
2:74655663	2:74655800
2:74655663	2:74658696
2:74655663	2:74655718
2:74655663	2:74655721
2:74655663	2:74655723
4:147102265	4:147102275
4:147102265	4:147102272
4:147102265	4:147102283
4:147102265	4:147102210
4:147102265	4:147102311
4:147102265	4:147102045
4:147102265	4:147102259
4:147102265	4:147102459
4:147102265	4:147102307
4:147102265	4:147102199
4:147102265	4:147102171
4:147102265	4:147102184
7:57509379	7:57509377
7:57509379	7:57509381
9:111311612	9:111311733
9:111311612	9:111311718
9:111311612	9:111311757
9:111311612	9:111311762
9:111311612	9:111311427
5:121828794	5:121828860
5:121828794	5:121828785
5:121828794	5:121828832
5:121828794	5:121828762
10:103027995	10:103028316
10:103027995	10:103028636
10:103027995	10:103028645
10:103027995	10:103028032
10:103027995	10:103029071
10:103027995	10:103029859
5:135869202	5:135869180
5:135869202	5:135868964
5:138275833	5:138275812
5:138275833	5:138275739
5:138275833	5:138279960
6:113501874	6:113501907
6:113501874	6:113501887
10:103029064	10:103028316
10:103029064	10:103028636
10:103029064	10:103028645
10:103029064	10:103029071
10:103029064	10:103029859
13:47974356	13:47974354
13:47974356	13:47974381
10:114802200	10:114801456
10:114802200	10:114801645
10:114802200	10:114801481
17:68841916	17:68841821
17:68841916	17:68842007
17:68841916	17:68841940
17:68841916	17:68841329
17:68841916	17:68841876
17:68841916	17:68841803
17:68841916	17:68841863
17:68841916	17:68841805
11:42182276	11:42182447
11:42182276	11:42182462
11:42182276	11:42182440
4:148952415	4:148952673
4:148952415	4:148952510
2:172042271	2:172042259
2:172042271	2:172042951
2:172042271	2:172042885
2:172042271	2:172042872
2:172042271	2:172043072
2:172042271	2:172043074
5:131307498	5:131307088
5:131307498	5:131307071
5:131307498	5:131307189
5:131307498	5:131307485
12:18610345	12:18610516
12:18610345	12:18610245
12:18610345	12:18610252
12:18610345	12:18610283
12:18610345	12:18610334
12:18610345	12:18610336
12:18610345	12:18610358
12:18610345	12:18610372
15:57874587	15:57870084
15:57874587	15:57870056
15:57874587	15:57870181
15:57874587	15:57869930
2:82053380	2:82053835
2:82053380	2:82053386
2:82053380	2:82053402
2:82053380	2:82053398
2:164171874	2:164168651
2:164171874	2:164168682
2:164171874	2:164168688
14:21990644	14:21990664
14:21990644	14:21990478
14:21990644	14:21991485
14:21990644	14:21985856
14:21990644	14:21991739
17:68842029	17:68841821
17:68842029	17:68842007
17:68842029	17:68841940
17:68842029	17:68841329
17:68842029	17:68841876
17:68842029	17:68841803
17:68842029	17:68841863
17:68842029	17:68841805
5:97935757	5:97935670
5:97935757	5:97935733
5:97935757	5:97935750
5:97935757	5:97935633
5:97935757	5:97935659
5:97935757	5:97935627
6:52185469	6:52185508
6:52185469	6:52185402
7:49639143	7:49636778
7:49639143	7:49635365
1:34806954	1:34805961
1:34806954	1:34805979
1:34806954	1:34805999
1:34806954	1:34805959
1:34806954	1:34805981
1:34806954	1:34807222
13:30722843	13:30722699
13:30722843	13:30723003
13:30722843	13:30722662
13:30722843	13:30722827
10:79918978	10:79919351
10:79918978	10:79919568
10:79918978	10:79918983
10:79918978	10:79921617
10:79918978	10:79921053
6:52192118	6:52191100
6:52192118	6:52191070
6:52192118	6:52192108
6:52192118	6:52191079
16:21204797	16:21204910
16:21204797	16:21204283
16:21204797	16:21204295
16:21204797	16:21204767
16:21204797	16:21205884
16:21204797	16:21205921
16:21204797	16:21204813
16:21204797	16:21204903
16:21204797	16:21205128
6:8956793	6:8957108
6:8956793	6:8957106
6:8956793	6:8956980
6:8956793	6:8957096
4:91375176	4:91372130
4:91375176	4:91376516
4:91375176	4:91375018
4:91375176	4:91371352
12:21784326	12:21784377
12:21784326	12:21784285
12:21784326	12:21784287
12:21784326	12:21784370
12:21784326	12:21784360
12:21784326	12:21784294
3:82876390	3:82876457
3:82876390	3:82876394
3:82876390	3:82876419
9:107527208	9:107527251
9:107527208	9:107527190
9:107527208	9:107527235
2:174075242	2:174075142
2:174075242	2:174075152
2:174075242	2:174075137
2:174075242	2:174075112
15:82207384	15:82207845
15:82207384	15:82207841
15:82207384	15:82207236
15:82207384	15:82207471
15:82207384	15:82207809
15:82207384	15:82207478
15:82207384	15:82207507
15:82207384	15:82207639
15:82207384	15:82207462
15:82207384	15:82207495
8:111491589	8:111491564
8:111491589	8:111491597
1:38626830	1:38626601
1:38626830	1:38626825
1:38626830	1:38626733
1:38626830	1:38626506
19:61226266	19:61226250
19:61226266	19:61226815
19:61226266	19:61225985
19:61226266	19:61226369
19:61226266	19:61226239
19:61226266	19:61226367
19:61226266	19:61226275
7:137314145	7:137317370
7:137314145	7:137310016
7:137314145	7:137309940
15:31297381	15:31297385
15:31297381	15:31297467
15:31297381	15:31297396
15:31297381	15:31297461
15:31297381	15:31297463
15:31297381	15:31297377
15:31297381	15:31297455
15:31297480	15:31297385
15:31297480	15:31297396
15:31297480	15:31297461
6:31079750	6:31079739
6:31079750	6:31079655
13:117220042	13:117220050
13:117220042	13:117221134
13:117220042	13:117221026
19:61226647	19:61226250
19:61226647	19:61226815
19:61226647	19:61225985
19:61226647	19:61225999
19:61226647	19:61226369
19:61226647	19:61226239
19:61226647	19:61226367
19:61226647	19:61225367
19:61226647	19:61225643
19:61226647	19:61226072
19:61226647	19:61226275
19:61226647	19:61225698
19:61226647	19:61225696
19:61226647	19:61225994
19:61226647	19:61226668
19:61226647	19:61226587
19:61226647	19:61226047
19:61226647	19:61225840
19:61226647	19:61225630
19:61226647	19:61225921
19:61226647	19:61226809
19:61226647	19:61225523
19:61226647	19:61226560
19:61226647	19:61226671
19:61226647	19:61226065
19:61226647	19:61225310
19:61226647	19:61226424
12:86882292	12:86882214
12:86882292	12:86882200
12:86882292	12:86882280
12:86882292	12:86882103
12:86882292	12:86882197
12:86882292	12:86882574
12:86882292	12:86882212
12:86882292	12:86882513
12:86882292	12:86882362
12:86882292	12:86882562
12:86882292	12:86882017
12:86882292	12:86882194
2:164171902	2:164168651
2:164171902	2:164168682
2:164171902	2:164168688
2:164171902	2:164168820
8:83668622	8:83668540
8:83668622	8:83668569
8:83668622	8:83668652
8:83668622	8:83668619
8:83668622	8:83668628
8:83668622	8:83668610
9:111311601	9:111311733
9:111311601	9:111311718
9:111311601	9:111311757
9:111311601	9:111311762
9:111311601	9:111311427
9:111311601	9:111311702
9:111311601	9:111311699
10:114801285	10:114801456
10:114801285	10:114801645
10:114801285	10:114801481
10:114801285	10:114801447
10:114801285	10:114801821
10:114801285	10:114801992
9:110873853	9:110873838
9:110873853	9:110873843
19:61226037	19:61226250
19:61226037	19:61226815
19:61226037	19:61225985
19:61226037	19:61225999
19:61226037	19:61226369
19:61226037	19:61226239
19:61226037	19:61226367
19:61226037	19:61225643
19:61226037	19:61226275
19:61226037	19:61225840
2:104714517	2:104714682
2:104714517	2:104714698
8:50916166	8:50916170
8:50916166	8:50916173
8:50916166	8:50916164
16:21205900	16:21204910
16:21205900	16:21205924
16:21205900	16:21204283
16:21205900	16:21204295
16:21205900	16:21204767
16:21205900	16:21205884
16:21205900	16:21205921
16:21205900	16:21204813
16:21205900	16:21204903
16:21205900	16:21205049
16:21205900	16:21205128
7:96210366	7:96210363
7:96210366	7:96211718
12:22156537	12:22156618
12:22156537	12:22156596
2:164171880	2:164168651
2:164171880	2:164168682
2:164171880	2:164168688
2:164171880	2:164168820
3:88536524	3:88536518
3:88536524	3:88536521
3:88536524	3:88536360
2:146839530	2:146837062
2:146839530	2:146837069
2:146839530	2:146837028
2:146839530	2:146835259
4:9081847	4:9082036
4:9081847	4:9082010
4:9081847	4:9082087
12:50649027	12:50648530
12:50649027	12:50649018
12:50649027	12:50648919
8:26979924	8:26979951
8:26979924	8:26979886
8:26979924	8:26979674
8:26979924	8:26979820
4:78211818	4:78211954
4:78211818	4:78211970
4:78211818	4:78212062
4:78211818	4:78211547
4:78211818	4:78211733
4:78211818	4:78211739
4:78211818	4:78211654
4:78211818	4:78212190
4:78211818	4:78211798
4:78211818	4:78211796
11:61684784	11:61684523
11:61684784	11:61684998
11:61684784	11:61684665
11:61684784	11:61684480
11:61684784	11:61684687
11:61684784	11:61684689
11:61684784	11:61684729
12:27343164	12:27343064
12:27343164	12:27343037
12:27343164	12:27342929
12:27343164	12:27343137
12:27343164	12:27342940
12:27343164	12:27343066
12:27343164	12:27342693
12:27343164	12:27342689
12:27343164	12:27342274
12:27343164	12:27341826
12:27343164	12:27341829
12:27343164	12:27341875
12:20197154	12:20197126
12:20197154	12:20196392
12:20197154	12:20196537
12:20197154	12:20197024
12:20197154	12:20196561
12:20197154	12:20197029
11:70026929	11:70026868
11:70026929	11:70029834
11:70026929	11:70026262
11:70026929	11:70029847
9:107527254	9:107527251
9:107527254	9:107527190
9:107527254	9:107527198
9:107527254	9:107527235
9:107527254	9:107527163
4:99650602	4:99653912
4:99650602	4:99653888
2:180642188	2:180642624
2:180642188	2:180642650
2:180642188	2:180642677
2:180642188	2:180642600
2:180642188	2:180642657
2:180642188	2:180642638
2:180642188	2:180642668
11:45980203	11:45980160
11:45980203	11:45979975
19:50678149	19:50678211
19:50678149	19:50678591
19:50678149	19:50678821
19:50678149	19:50678597
19:50678149	19:50678633
19:50678149	19:50678197
19:50678149	19:50678906
19:50678149	19:50678618
19:50678149	19:50678751
19:50678149	19:50678656
19:50678149	19:50678665
19:50678149	19:50678222
19:50678149	19:50678602
19:50678149	19:50678748
19:50678149	19:50678543
19:50678149	19:50678524
10:59970131	10:59970274
10:59970131	10:59970147
10:59970131	10:59970261
10:59970131	10:59970251
12:24097336	12:24096977
12:24097336	12:24097099
12:24097336	12:24097070
12:24097336	12:24096985
12:24097336	12:24096987
12:24097336	12:24097089
12:24097336	12:24097430
12:24097336	12:24097304
11:113368205	11:113368178
11:113368205	11:113368113
11:113368205	11:113368089
8:29219399	8:29219552
8:29219399	8:29219396
8:29219399	8:29219548
16:21204769	16:21204910
16:21204769	16:21204283
16:21204769	16:21204295
16:21204769	16:21204767
16:21204769	16:21205128
2:147084710	2:147084559
2:147084710	2:147084715
2:147084710	2:147084603
17:23540953	17:23540942
17:23540953	17:23540830
1:135585042	1:135584877
1:135585042	1:135583730
1:135585042	1:135584849
1:135585042	1:135583723
15:88839356	15:88839444
15:88839356	15:88839365
7:127691609	7:127691516
7:127691609	7:127691590
11:61147488	11:61147591
11:61147488	11:61147518
11:61147488	11:61147516
11:61147488	11:61147527
11:61147488	11:61147628
11:61147488	11:61147521
11:61147488	11:61147609
11:61147488	11:61147624
19:5751299	19:5751295
19:5751299	19:5751185
19:5751299	19:5751206
12:21784396	12:21784377
12:21784396	12:21784285
12:21784396	12:21784287
12:21784396	12:21784370
11:42182432	11:42182447
11:42182432	11:42182462
11:42182432	11:42182440
17:23540947	17:23540942
17:23540947	17:23540830
11:88235986	11:88235752
11:88235986	11:88235756
3:149184105	3:149184350
3:149184105	3:149184348
3:149184105	3:149184112
11:4949374	11:4949389
11:4949374	11:4949380
11:4949374	11:4949351
12:49385789	12:49385679
12:49385789	12:49384741
12:49385789	12:49383670
12:49385789	12:49383970
12:49385789	12:49385541
12:49385789	12:49383995
12:49385789	12:49385766
12:49385789	12:49385557
15:82207836	15:82207845
15:82207836	15:82207841
15:82207836	15:82207236
15:82207836	15:82207471
15:82207836	15:82207809
15:82207836	15:82207478
15:82207836	15:82207507
15:82207836	15:82207462
15:82207836	15:82207495
2:77171999	2:77171997
2:77171999	2:77172353
5:131307094	5:131307088
5:131307094	5:131307071
5:131307094	5:131307189
5:131307094	5:131307485
5:131307094	5:131307378
5:131307094	5:131307881
5:131307094	5:131307226
5:131307094	5:131307647
9:65520219	9:65520244
9:65520219	9:65520235
9:65520219	9:65520328
3:158562711	3:158561388
3:158562711	3:158561384
3:158562711	3:158561602
3:158562711	3:158561378
8:108245379	8:108245364
8:108245379	8:108241535
8:108245379	8:108241426
8:108245379	8:108241572
8:108245379	8:108247293
8:108245379	8:108248176
8:108245379	8:108241559
8:108245379	8:108240549
8:108245379	8:108241508
8:108245379	8:108240434
17:83322984	17:83322938
17:83322984	17:83322904
17:83322984	17:83322896
17:83322984	17:83323004
12:21784354	12:21784377
12:21784354	12:21784285
12:21784354	12:21784287
12:21784354	12:21784370
12:21784354	12:21784360
12:21784354	12:21783962
12:21784354	12:21784294
12:21784354	12:21784300
12:21784354	12:21784391
12:21784354	12:21784323
2:31636367	2:31635999
2:31636367	2:31636240
2:74655754	2:74655742
2:74655754	2:74655649
2:74655754	2:74655652
2:74655754	2:74655681
2:74655754	2:74655611
2:74655754	2:74655713
2:74655754	2:74655726
2:74655754	2:74655969
2:74655754	2:74655718
